# Blacklisted wallets (low winrate) | 387 wallets | export: 2026-07-23T14:38:37
# address | chain | blacklisted_at | reason
EEnhrgkULbUh7Hq9GovuqPWDdPuGgoYZdyJ6kDjjqGWW | sol | 1784804887 | low_winrate
3cZQqQHiVG9Tn7Q6ztrYh2xWQJWJaCsrDcobkJVvk4fh | sol | 1784804839 | low_winrate
HsHyMeXFAYQ4iW4Yj4izb8rth4uaWWzd5qkrP6WrNEJH | sol | 1784804839 | low_winrate
576b6UzS3DvQRu42kezf5gsLtpyq6UEbBMahYZh7HzVo | sol | 1784804839 | low_winrate
GEgSHU2DFywTi8UuaMeLx2WW1GoWryrisoaNEPb72LDA | sol | 1784804839 | low_winrate
2GZv3gHApNq2fkBK9v7gNMyook3MMQ5h6GwNwzq9EX7E | sol | 1784804839 | low_winrate
5jVrUGqtbyTQPNMDUgRiwWnF6Jik1RrFvcQe6dv3MzUY | sol | 1784804839 | low_winrate
qNGhUruCGJpXJdsnV74USHErcbm3CrXRsnP8D6Z34Hh | sol | 1784804839 | low_winrate
GVVP8N7jnxgr3QdtR461bsuCNNQmuNu4DBW2Ab4tzKVp | sol | 1784804839 | low_winrate
Fyr3eVTySpfyczEzUFcJ3SPtEKRwWKhxsmAWLghwP3FL | sol | 1784804839 | low_winrate
C5fLStwvycEPFAPW14LuRZyLQMGFTQ9d4fkVyrijUs2D | sol | 1784804839 | low_winrate
AmEbL82LhQa36NYDEMd3ooD5TjeLPytPuWHyNTXXvCWh | sol | 1784804839 | low_winrate
93kk52HkrH5pHEPyb2KM62mP4cWA1N5DaSgBgDzA2uT9 | sol | 1784804839 | low_winrate
74ok3XR2RBV2XxHrGuiGVKvHTXJARbDhvTxybK4TiMBH | sol | 1784804839 | low_winrate
DTru6k9ozWhaZibLCs8D7M3C6oABsigRik4R89xY2YA7 | sol | 1784804839 | low_winrate
AJEoYSg3KFGm8VLaZqPf4QC8pkQHFikfmVg57AZv1HHZ | sol | 1784804839 | low_winrate
9UxnMQaPYpYoocpQAQptwuNVyVANPTXPGp6b4xBKrQUH | sol | 1784804839 | low_winrate
3AfZNMNnHXe4q53715YiWRA1zK5ndtLrvgS6yJHunbHy | sol | 1784804839 | low_winrate
F2HJtfhZ7DTamZu3yHNqf94UXGot2MqpA7NNnpMmJU6G | sol | 1784804839 | low_winrate
7icdqFHiQsqf4Mccx58g8mZ3yMW1mrE4Px64t5LpYFrG | sol | 1784804839 | low_winrate
3w8N7ay9pvNaXxYUu7gFeZQ2zHg6FECSgwGWxcWwb8C8 | sol | 1784804839 | low_winrate
4NGX3sD6PQJLwPCSHdLTACFzLRqR1JhpUEtjpsmCAwGn | sol | 1784804839 | low_winrate
8L9tM3jnk9KonWH1P5XAFdK77Prndpqeu2hQeZCAzVkv | sol | 1784804839 | low_winrate
3gLfk9vp8kP6Z1Qj8WGi94HAhdMWhs1MYMPBg2Gk5ngq | sol | 1784804839 | low_winrate
GRCeWk1ya5bPN3QLmvgVLnXMAsdtajR25NMK4WsE7i47 | sol | 1784804839 | low_winrate
57stAMFvwctAjkBS76RXGoK4QKyS1QoxbGMbzFFe4DyZ | sol | 1784804839 | low_winrate
EkXxonwVB27DoBqSEnYYjNPmF83trANHNZkq6ffkRA62 | sol | 1784804839 | low_winrate
AAFKFhEiL8EbgbCE2hMzGo1RP9RsuakixnPh6itQPNGo | sol | 1784804839 | low_winrate
GoJM9nYGHjzjyeAfYivBBRQVJ92spX5v712vrVfUixtM | sol | 1784804839 | low_winrate
HXF22jVNJyhauWJGLiRtXahjbzPQU7hr74Y2r2qX29ue | sol | 1784804839 | low_winrate
timeworn2X1EwMLSzeVhdVTbVSzSCKuibKd2kQ2Lsyn | sol | 1784804839 | low_winrate
AFbNvhv7TabQ9n9QbZfWPXcevvM6ckdYVr5TKkcN8BaF | sol | 1784804839 | low_winrate
4aE7NqEznFdD7kBvyhj8wvoQvTjezvmiB8vdHZfmSD5B | sol | 1784804839 | low_winrate
AM6M56H6Xryc7ZK2A6wBv9rdufqDYkgD8v1FVVUJNb4y | sol | 1784804839 | low_winrate
GAkTGSsZFSHL6tM7NTYx8A41Z3TDC41wMW7gQ8NxnT3K | sol | 1784804839 | low_winrate
2Zfud6rXjmXwF4DdEmjNHPLpuBzr1Gb96YD6RtdZSYYh | sol | 1784804839 | low_winrate
9kYJMfnJqiQL78Xv7oz3WWhEJAZsWwZKZqF7hSUhq3HF | sol | 1784804839 | low_winrate
DuoJcXtJJsZVPRdpzaknMWm7v3nhMaxAVVH7mS3ZM1Z1 | sol | 1784804839 | low_winrate
8phbJWnT4TmCYq5jLg5QCj7JaoXSEXTfnoTMqEmgFLA9 | sol | 1784804839 | low_winrate
5WiE69FgQTgeSB6JsLJXX8G7cU9JD5k1JoP2c6NhUpzc | sol | 1784804839 | low_winrate
FYTVwP5hgCUiB14eYYTPtZpBCBL4tqbYFbRkjmRwbNto | sol | 1784804839 | low_winrate
4ExEZQSfhLbyZcno9AKET3zFSwgs9oVvR6QGbC6EhN25 | sol | 1784804839 | low_winrate
8ujBWo8cUNnEb6qGVFkWg9ujHG7XeKY7Dpy6QKqeBrYn | sol | 1784804839 | low_winrate
7AB5Jo1N4prv7etqPgHctZk3poX4JMoTjYRJ8cR9xgwX | sol | 1784804839 | low_winrate
Cvmo9SmWvBabC6ssW5uwThNKWipYJ6UUycBf4dibdQ97 | sol | 1784804839 | low_winrate
AxUfULyBzPc8LA9HwBePCg3E5PYGgjJjCBgvqGMaGnHd | sol | 1784804839 | low_winrate
GyPssDcBmDzdeigoW49XR2oybHkBNYTLL6asqmocrALu | sol | 1784804839 | low_winrate
GcyxPUZ39e43sa4niWmxMytaH2TPZoJoL8hBMdhA61nz | sol | 1784804839 | low_winrate
9999huSCf6QpepPHQVFLZ9smhsbwkV4XWPLboiy9qqRj | sol | 1784804839 | low_winrate
ESYWHBB7GywpegdrkGK8CfaexDD2QLwwSRb7iAv9sJ3J | sol | 1784804839 | low_winrate
27uKfiSGAZdqNrYrZSiEsfXt77s15sKikgSJkFoF48Mr | sol | 1784804839 | low_winrate
armmhdQFWjLBv7zkKsELNXJsxzta5RPkyQq2crHgRjZ | sol | 1784804839 | low_winrate
FhsfqVkt4mQp81LMKpbDT5jgQQsfrybyxhqwCE376inW | sol | 1784804839 | low_winrate
